STT,Lat1,Lon1,Land_Cost,Unit
283,10.7532619,106.6954429,185300000,Quận 4
284,10.7665501,106.7034238,271200000,Quận 4
285,10.758002,106.6940321,271200000,Quận 4
286,10.7497136,106.6744841,205500000,Quận 5
287,10.7594661,106.6672206,196000000,Quận 5
288,10.7545639,106.6562754,237800000,Quận 5
289,10.7562856,106.6564091,172000000,Quận 5
290,10.7532821,106.6838729,167500000,Quận 5
291,10.7529853,106.6547702,270200000,Quận 5
292,10.7531244,106.6644546,225600000,Quận 5
293,10.7561573,106.6646141,237800000,Quận 5
294,10.7534287,106.6802478,184200000,Quận 5
295,10.7457106,106.6382636,115800000,Quận 6
296,10.7501892,106.6366154,128700000,Quận 6
297,10.7538587,106.6446253,165000000,Quận 6
298,10.7397581,106.6278361,112000000,Quận 6
299,10.7395331,106.6266647,108000000,Quận 6
300,10.7593152,106.6256087,103500000,Quận 6
301,10.7491374,106.6531464,123500000,Quận 6
302,10.7458058,106.6263111,126000000,Quận 6
303,10.7463022,106.6377599,158000000,Quận 6
304,10.7479052,106.6501083,115600000,Quận 6
305,10.7437585,106.6261601,85000000,Quận 6
306,10.7396078,106.629519,117000000,Quận 6
307,10.7374463,106.7203525,180000000,Quận 7
308,10.7318125,106.7291875,45200000,Quận 7
309,10.7384977,106.7006494,110000000,Quận 7
310,10.7355655,106.6955453,70000000,Quận 7
311,10.7432388,106.7362812,90000000,Quận 7
312,10.7159547,106.7398997,75000000,Quận 7
313,10.7386152,106.7295631,127000000,Quận 7
314,10.7474206,106.7229941,140000000,Quận 7
315,10.7355164,106.7376312,80000000,Quận 7
316,10.7497169,106.7111197,70000000,Quận 7
317,10.7291762,106.7267712,222000000,Quận 7
318,10.7339455,106.718043,190000000,Quận 7
319,10.7315617,106.712517,195000000,Quận 7
320,10.7990898,106.7352656,163000000,TP Thủ Đức
321,10.7160218,106.7291562,210000000,Quận 7
322,10.7329755,106.7378386,70000000,Quận 7
323,10.714003,106.7398313,70000000,Quận 7
324,10.7379453,106.7415257,85000000,Quận 7
325,10.7459194,106.7125121,180000000,Quận 7
326,10.7246884,106.7078747,190000000,Quận 7
327,10.7221958,106.7257872,210000000,Quận 7
328,10.7134558,106.7318029,54500000,Quận 7
329,10.7455875,106.6550128,112000000,Quận 8
330,10.732681,106.652846,87000000,Quận 8
331,10.7340502,106.6534626,87000000,Quận 8
332,10.7328225,106.6443176,92000000,Quận 8
333,10.7944343,106.7810919,81700000,TP Thủ Đức
334,10.7440359,106.6521161,112000000,Quận 8
335,10.7379246,106.6549382,81000000,Quận 8
336,10.7380999,106.668433,74000000,Quận 8
337,10.7148694,106.6410855,73000000,Quận 8
338,10.7371683,106.6699552,112000000,Quận 8
339,10.73616,106.6684699,140000000,Quận 8
340,10.7711384,106.6733844,270200000,Quận 10
341,10.7827702,106.6717205,202900000,Quận 10
342,10.7676755,106.6597567,221000000,Quận 10
343,10.7724555,106.6648811,194300000,Quận 10
344,10.7692388,106.6660626,194300000,Quận 10
345,10.7628807,106.6610445,147400000,Quận 10
346,10.7739642,106.6477014,120000000,Quận 11
347,10.7660019,106.6427647,120000000,Quận 11
348,10.7617045,106.660033,260000000,Quận 11
349,10.7669801,106.6441154,162600000,Quận 11
350,10.7633206,106.6568198,221000000,Quận 11
351,10.7711949,106.6526136,260000000,Quận 11
352,10.7632631,106.6579999,221000000,Quận 11
353,10.763596,106.6418318,120000000,Quận 11
354,10.7685329,106.6506599,160000000,Quận 11
355,10.7791522,106.7000103,60200000,Quận 12
356,10.8786875,106.6490625,60300000,Quận 12
357,10.8806945,106.6490952,41600000,Quận 12
358,10.8719831,106.6578842,72600000,Quận 12
359,10.8608374,106.6541922,16100000,Quận 12
360,10.8723625,106.6579219,56700000,Quận 12
361,10.8759661,106.6297453,32600000,Quận 12
362,10.8740551,106.6309377,49500000,Quận 12
363,10.8582918,106.6308586,49000000,Quận 12
364,10.85966,106.6172412,71500000,Quận 12
365,10.8557791,106.6784937,48200000,Quận 12
366,10.8700763,106.6835165,48200000,Quận 12
367,10.8312276,106.6209334,126300000,Quận 12
368,10.7798625,106.7237031,295000000,TP Thủ Đức
369,10.8245275,106.620233,56200000,Quận 12
370,10.8227198,106.6179845,23100000,Quận 12
371,10.83155,106.6118,103900000,Quận 12
372,10.8308652,106.6108324,103900000,Quận 12
373,10.8300321,106.6184812,103900000,Quận 12
374,10.8244618,106.6108027,75000000,Quận 12
375,10.8227351,106.6178794,23100000,Quận 12
376,10.8474969,106.6214361,16100000,Quận 12
377,10.8425226,106.624946,14600000,Quận 12
378,10.8433741,106.6255459,14600000,Quận 12
379,10.850079,106.6961075,33300000,Quận 12
380,10.8710428,106.6145978,71500000,Quận 12
381,10.8311481,106.6209471,126300000,Quận 12
382,10.8609666,106.6541892,16100000,Quận 12
