Unit,Name,,Type,Value,x coordinate,y coordinate,Existing demand
Huyện Nhà Bè,Bãi đỗ xe tư nhân Anh Bình,80,60 kW DC,2,10.6515117,106.7293611,32
Huyện Nhà Bè,Cửa hàng xăng dầu Mipec Anh Huy,60,60 kW DC,4,10.6505836,106.7295491,48
Huyện Nhà Bè,Bãi đỗ xe tư nhân Chị Diễm 4,11,11 Kw AC,5,10.6571742,106.6887408,11
Huyện Nhà Bè,Bãi đỗ xe tư nhân Chị Diễm 4,60,60 kW DC,2,10.6571742,106.6887408,24
Huyện Nhà Bè,Cửa hàng xăng dầu Thuận Khải,60,60 kW DC,4,10.6731696,106.6979514,48
Huyện Nhà Bè,Bãi đỗ xe tư nhân Lê Văn Lương,11,11 Kw AC,9,10.6751953,106.6939803,19.8
Huyện Nhà Bè,Bãi đỗ xe tư nhân Lê Văn Lương,60,60 kW DC,16,10.6751953,106.6939803,192
Huyện Nhà Bè,Gara Anh Mạnh,11,11 Kw AC,1,10.6786262,106.7359893,2.2
Huyện Nhà Bè,Gara Anh Mạnh,60,60 kW DC,2,10.6786262,106.7359893,24
Huyện Nhà Bè,Bãi đỗ xe Thanh Phong Auto Nhà Bè,11,11 Kw AC,2,10.6998008,106.7040864,4.4
Huyện Nhà Bè,Bãi đỗ xe Thanh Phong Auto Nhà Bè,30,30 kW DC,2,10.6998008,106.7040864,12
Huyện Nhà Bè,Chung cư HAGL Gold House A,11,11 Kw AC,3,10.7108769,106.7032967,6.6
Huyện Nhà Bè,Chung cư HAGL Gold House B,11,11 Kw AC,3,10.7108769,106.7032967,6.6
Huyện Nhà Bè,Bãi đỗ xe Cafe Bích Ngọc,11,11 Kw AC,1,10.6748507,106.7500025,2.2
Huyện Nhà Bè,Bãi đỗ xe Cafe Bích Ngọc,80,80 kW DC,2,10.6748507,106.7500025,32
Huyện Nhà Bè,Bãi đỗ xe tư nhân Phạm Hữu Lầu,11,11 Kw AC,1,10.7011897,106.719752,2.2
Huyện Nhà Bè,Bãi đỗ xe tư nhân Phạm Hữu Lầu,60,60 kW DC,6,10.7011897,106.719752,72
Quận một,Bãi đỗ xe Công ty SAFi,60,60 kW DC,2,10.7868147,106.6961415,24
Quận một,Tòa nhà SFC,11,11 Kw AC,1,10.7877159,106.699993,2.2
Quận một,Tòa nhà SFC,60,60 kW DC,2,10.7877159,106.699993,24
Quận một,"Vincom Center Đồng Khởi, Hầm B6",11,11 Kw AC,2,10.7779716,106.7016504,4.4
Quận một,"Vincom Center Đồng Khởi, Hầm B6",80,80 kW DC,2,10.7779716,106.7016504,32
Quận một,"Vincom Center Đồng Khởi, Hầm B6",60,60 kW DC,24,10.7779716,106.7016504,288
Quận một,"Vincom Center Đồng Khởi, Hầm B6",30,30 kW DC,9,10.7779716,106.7016504,54
Quận một,Vincom Center Đồng Khởi - Hầm B5,11,11 Kw AC,4,10.7780283,106.7019909,8.8
Quận một,Vincom Center Đồng Khởi - Hầm B5,60,60 kW DC,4,10.7780283,106.7019909,48
Quận một,Vincom Center Đồng Khởi - Hầm B5,30,30 kW DC,2,10.7780283,106.7019909,12
Quận một,Chung cư Vinhomes Golden River 1,11,11 Kw AC,3,10.7849515,106.709737,6.6
Quận 12,Bãi đỗ xe Tâm Phúc,11,11 Kw AC,4,10.8738856,106.6219931,8.8
Quận 12,Bãi đỗ xe Tâm Phúc,60,60 kW DC,2,10.8738856,106.6219931,24
Quận 12,Bãi đỗ xe tư nhân Thùy Trang,11,11 Kw AC,1,10.889003,106.593253,2.2
Quận 12,Bãi đỗ xe tư nhân Thùy Trang,60,60 kW DC,2,10.889003,106.593253,24
Quận 12,Bãi đỗ xe Tân Thới Hiệp,11,11 Kw AC,4,10.8603672,106.6438673,8.8
Quận 12,Bãi đỗ xe Tân Thới Hiệp,60,60 kW DC,6,10.8603672,106.6438673,72
Quận 12,Bãi đỗ xe S778 Nguyễn Văn Quá,11,11 Kw AC,1,10.8461024,106.6335723,2.2
Quận 12,Bãi đỗ xe S778 Nguyễn Văn Quá,30,30 kW DC,1,10.8461024,106.6335723,6
Quận 12,Bãi đỗ xe Diệu Phát,11,11 Kw AC,2,10.8907028,106.6472383,4.4
Quận 12,Bãi đỗ xe Diệu Phát,60,60 kW DC,2,10.8907028,106.6472383,24
Quận 12,Bãi đỗ xe Chung cư Hiệp Thành,11,11 Kw AC,2,10.88007,106.6476469,4.4
Quận 12,Bãi đỗ xe Chung cư Hiệp Thành,60,60 kW DC,4,10.88007,106.6476469,48
Quận 12,Bãi đỗ xe Minh Phúc,11,11 Kw AC,3,10.8919051,106.6868612,6.6
Quận 12,Bãi đỗ xe Minh Phúc,60,60 kW DC,2,10.8919051,106.6868612,24
Quận 12,Bãi đỗ xe 24E – Thạnh Xuân,11,11 Kw AC,5,10.8644608,106.6741991,11
Quận 12,Bãi đỗ xe 24E – Thạnh Xuân,60,60 kW DC,2,10.8644608,106.6741991,24
Quận 12,Bãi đỗ xe tư nhân Anh Nam 2,60,60 kW DC,4,10.8812315,106.6827168,48
Quận 12,Bãi đỗ xe Bờm Auto,11,11 Kw AC,3,10.8660938,106.6717738,6.6
Quận 12,Bãi đỗ xe Bờm Auto,60,60 kW DC,2,10.8660938,106.6717738,24
