STT,Lat2,Lon2,Cars,Unit
303,10.6485375,106.6497656,181,Huyện Bình Chánh
304,10.7133866,106.5949086,716,Huyện Bình Chánh
305,10.7108375,106.5543594,396,Huyện Bình Chánh
306,10.6580052,106.590796,317,Huyện Bình Chánh
307,10.801204,106.562411,2.051,Huyện Bình Chánh
308,10.7983417,106.560447,1.749,Huyện Bình Chánh
309,10.9729173,106.4934599,355,Huyện Củ Chi
310,11.0649712,106.4850017,242,Huyện Củ Chi
311,11.116864,106.5008776,142,Huyện Củ Chi
312,10.9296343,106.6471406,652,Huyện Củ Chi
313,10.9798906,106.6164929,236,Huyện Củ Chi
314,11.034097,106.487063,193,Huyện Củ Chi
315,11.0389925,106.5360415,110,Huyện Củ Chi
316,11.0258355,106.5644609,384,Huyện Củ Chi
317,11.1303625,106.4785156,102,Huyện Củ Chi
318,10.9676292,106.4881074,175,Huyện Củ Chi
319,10.9672972,106.4893801,236,Huyện Củ Chi
320,10.9838307,106.5163565,331,Huyện Củ Chi
321,10.9608753,106.4791593,441,Huyện Củ Chi
322,10.939816,106.5397446,635,Huyện Củ Chi
323,10.9607638,106.5948714,603,Huyện Củ Chi
324,10.9847934,106.5593145,208,Huyện Củ Chi
325,10.9555825,106.5132748,652,Huyện Củ Chi
326,10.991253,106.4029287,186,Huyện Củ Chi
327,10.9934424,106.5923465,334,Huyện Củ Chi
328,11.0154186,106.4652956,193,Huyện Củ Chi
329,11.0922587,106.4393724,164,Huyện Củ Chi
330,10.4106298,106.9649589,150,Huyện Cần Giờ
331,10.5903875,106.7893594,177,Huyện Cần Giờ
332,10.6439375,106.7867656,275,Huyện Cần Giờ
333,10.3961591,106.9250908,143,Huyện Cần Giờ
334,10.4721125,106.7712031,79,Huyện Cần Giờ
335,10.5979625,106.8593281,72,Huyện Cần Giờ
336,10.4706625,106.9752031,56,Huyện Cần Giờ
